#User	Dir	Cellname	Size	Nets	Transistors	Runtime	Memory	RequestedMemory
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1648.177	93639	276426	494	3474.488	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1667.112	93777	281637	292	3521.836	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2674.057	92819	276321	756	5123.078	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1667.112	93777	281637	295	3505.152	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1648.177	93639	276426	392	3474.500	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1729.790	92419	275323	301	3585.391	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2686.667	93637	276812	446	5142.051	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1729.815	92421	275349	304	3585.379	NA
ssjohnso	/import/siete-aus-sram-nobkup4/ssjohnso/stcdmspp_temp1/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	1644.684	92643	278457	474	3471.676	NA
ssjohnso	/import/siete-aus-sram8/ssjohnso/stcdmspp/customs/srams/cust/st_r_cx_rsu_speccam_l/st_r_cx_rsu_speccam/sigem/sigem	st_r_cx_rsu_speccam	2686.797	93639	276866	788	5142.180	NA
